Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Myanmar,28,Dependency ratio,4192,1992,14.13,I,
Myanmar,28,Dependency ratio,4192,1997,14.13,I,
Myanmar,28,Dependency ratio,4192,2002,14.13,I,
Myanmar,28,Dependency ratio,4192,2007,14.13,I,
Myanmar,28,Dependency ratio,4192,2012,14.13,I,
Myanmar,28,Dependency ratio,4192,2014,14.13,I,
Myanmar,28,Treated municipal wastewater,4270,1995,0,,
Myanmar,28,Total population with access to safe drinking-water (JMP),4114,1992,58.6,E,
Myanmar,28,Total population with access to safe drinking-water (JMP),4114,1997,63.2,E,
Myanmar,28,Total population with access to safe drinking-water (JMP),4114,2002,68.9,E,
Myanmar,28,Total population with access to safe drinking-water (JMP),4114,2007,74.6,E,
Myanmar,28,Total population with access to safe drinking-water (JMP),4114,2012,80.3,E,
Myanmar,28,Total population with access to safe drinking-water (JMP),4114,2015,80.6,E,
Niger,158,Dependency ratio,4192,1992,89.72,I,
Niger,158,Dependency ratio,4192,1997,89.72,I,
Niger,158,Dependency ratio,4192,2002,89.72,I,
Niger,158,Dependency ratio,4192,2007,89.72,I,
Niger,158,Dependency ratio,4192,2012,89.72,I,
Niger,158,Dependency ratio,4192,2014,89.72,I,
Niger,158,Treated municipal wastewater,4270,2012,,,[1]
Niger,158,Total population with access to safe drinking-water (JMP),4114,1992,35.7,E,
Niger,158,Total population with access to safe drinking-water (JMP),4114,1997,40.7,E,
Niger,158,Total population with access to safe drinking-water (JMP),4114,2002,45.7,E,
Niger,158,Total population with access to safe drinking-water (JMP),4114,2007,50.8,E,
Niger,158,Total population with access to safe drinking-water (JMP),4114,2012,56.2,E,
Niger,158,Total population with access to safe drinking-water (JMP),4114,2015,58.2,E,
Niger,158,Population affected by water related disease,4403,2010,3143,,[2]
Nigeria,159,Dependency ratio,4192,1992,22.78,I,
Nigeria,159,Dependency ratio,4192,1997,22.78,I,
Nigeria,159,Dependency ratio,4192,2002,22.78,I,
Nigeria,159,Dependency ratio,4192,2007,22.78,I,
Nigeria,159,Dependency ratio,4192,2012,22.78,I,
Nigeria,159,Dependency ratio,4192,2014,22.78,I,
Nigeria,159,Total population with access to safe drinking-water (JMP),4114,1992,42.4,E,
Nigeria,159,Total population with access to safe drinking-water (JMP),4114,1997,48.3,E,
Nigeria,159,Total population with access to safe drinking-water (JMP),4114,2002,54.2,E,
Nigeria,159,Total population with access to safe drinking-water (JMP),4114,2007,60.1,E,
Nigeria,159,Total population with access to safe drinking-water (JMP),4114,2012,65.5,E,
Nigeria,159,Total population with access to safe drinking-water (JMP),4114,2015,68.5,E,
Thailand,216,Dependency ratio,4192,1992,48.81,I,
Thailand,216,Dependency ratio,4192,1997,48.81,I,
Thailand,216,Dependency ratio,4192,2002,48.81,I,
Thailand,216,Dependency ratio,4192,2007,48.81,I,
Thailand,216,Dependency ratio,4192,2012,48.81,I,
Thailand,216,Dependency ratio,4192,2014,48.81,I,
Thailand,216,Treated municipal wastewater,4270,1990,0,,
Thailand,216,Treated municipal wastewater,4270,2012,1.168,,
Thailand,216,Not treated municipal wastewater,4491,2012,3.942,,
Thailand,216,Total population with access to safe drinking-water (JMP),4114,1992,88.2,E,
Thailand,216,Total population with access to safe drinking-water (JMP),4114,1997,90.5,E,
Thailand,216,Total population with access to safe drinking-water (JMP),4114,2002,92.9,E,
Thailand,216,Total population with access to safe drinking-water (JMP),4114,2007,95.2,E,
Thailand,216,Total population with access to safe drinking-water (JMP),4114,2012,97.1,E,
Thailand,216,Total population with access to safe drinking-water (JMP),4114,2015,97.8,E,
Thailand,216,Population affected by water related disease,4403,1995,960,,
,,,,,,,
Metadata:,,,,,,,
"[1] [P-Observations-N] | No municipal treatment plants exist. Treatment systems are mostly onsite, example the national hospital has treatment facilities ( but out of order since 2013). The treated effluent was discharged in the Niger river - details on type and efficiency of treatments system not clear.",,,,,,,
[2] [P-Components-N] | Malaria : 80.5 cases for 1000 habitants; urinary bilharzia: 4693 cases in 2010,,,,,,,
,,,,,,,
E - External data,,,,,,,
I - AQUASTAT estimate,,,,,,,
K - Aggregate data,,,,,,,
L - Modelled data,,,,,,,
(c)  FAO of the UN,,,,,,,
The information contained in AQUASTAT is provided free of charge to all users. Please quote as follows:,,,,,,,
FAO. 2016. AQUASTAT Main Database - Food and Agriculture Organization of the United Nations (FAO). Website accessed on[01/10/2018 2:30],,,,,,,
 ,,,,,,,
